elapsed_time_sec,ss1_lp_ma,ss2_lp_ma,ss3_lp_ma,ss4_lp_ma
5.685e-06,0.27047,0.363571,0.478029,0.390683
0.0100809,0.270468,0.363573,0.477976,0.390671
0.0200823,0.270465,0.363573,0.477923,0.390658
0.0300862,0.270463,0.363574,0.47787,0.390646
0.0400831,0.270462,0.363574,0.477817,0.390633
0.0500798,0.27046,0.363575,0.477764,0.390621
0.0600834,0.270459,0.363577,0.477711,0.390608
0.0700805,0.270458,0.363579,0.477659,0.390595
0.0800826,0.270457,0.363582,0.477607,0.390583
0.0900837,0.270456,0.363584,0.477555,0.390571
0.100083,0.270457,0.363587,0.477503,0.390559
0.110082,0.270459,0.363592,0.477451,0.390545
0.120083,0.27046,0.363596,0.4774,0.390532
0.130074,0.270461,0.3636,0.477349,0.390519
0.140081,0.270462,0.363604,0.477299,0.390507
0.150075,0.270464,0.363608,0.477249,0.390494
0.160076,0.270467,0.363613,0.477198,0.390483
0.170074,0.270467,0.363618,0.477149,0.390471
0.180076,0.270468,0.363623,0.477098,0.390459
0.190074,0.270468,0.363628,0.477047,0.390447
0.200076,0.27047,0.363632,0.476996,0.390434
0.210074,0.270472,0.363637,0.476945,0.39042
0.220092,0.270473,0.363642,0.476895,0.390409
0.230076,0.270475,0.363647,0.476844,0.390397
0.240072,0.270475,0.363651,0.476795,0.390385
0.250072,0.270476,0.363655,0.476744,0.390372
0.260074,0.270477,0.363658,0.476695,0.390359
0.270073,0.270478,0.363661,0.476644,0.390346
0.280074,0.270479,0.363665,0.476595,0.390333
0.290076,0.27048,0.363668,0.476546,0.390319
0.300075,0.27048,0.363671,0.476497,0.390307
0.310075,0.270483,0.363674,0.476447,0.390294
0.320094,0.270483,0.363678,0.476398,0.390281
0.330077,0.270485,0.363683,0.47635,0.390268
0.340073,0.270486,0.363687,0.4763,0.390255
0.350074,0.270486,0.363692,0.476252,0.390242
0.360076,0.270488,0.363695,0.476203,0.390229
0.370076,0.270489,0.3637,0.476155,0.390216
0.380076,0.27049,0.363703,0.476106,0.390203
0.390073,0.270491,0.363707,0.476058,0.39019
0.400075,0.270492,0.363711,0.47601,0.390177
0.410073,0.270493,0.363715,0.475961,0.390163
0.420135,0.270491,0.363718,0.475912,0.39015
0.430091,0.270488,0.36372,0.475864,0.390136
0.440092,0.270485,0.363721,0.475815,0.390123
0.450103,0.270483,0.363722,0.475767,0.390109
0.460083,0.270481,0.363716,0.475717,0.390093
0.47009,0.270478,0.363718,0.47567,0.390079
0.480078,0.270478,0.363721,0.475623,0.390065
0.490078,0.270479,0.363726,0.475576,0.390052
0.500078,0.27048,0.363731,0.475529,0.390039
0.510077,0.270481,0.363734,0.475481,0.390026
0.520078,0.270482,0.363739,0.475436,0.390013
0.530071,0.270483,0.363743,0.475389,0.389999
0.540076,0.270485,0.363748,0.475342,0.389986
0.550076,0.270486,0.363752,0.475296,0.389973
0.560076,0.270487,0.363756,0.47525,0.38996
0.570074,0.270487,0.36376,0.475203,0.389946
0.580073,0.270488,0.363764,0.475157,0.389932
0.590076,0.27049,0.363769,0.475112,0.389918
0.600074,0.270491,0.363774,0.475067,0.389906
0.610079,0.270493,0.363778,0.475021,0.389892
0.620082,0.270493,0.363783,0.474976,0.389879
0.630076,0.270494,0.363787,0.474931,0.389865
0.640077,0.270494,0.363791,0.474886,0.389852
0.650077,0.270495,0.363796,0.474841,0.389838
0.660074,0.270496,0.3638,0.474796,0.389825
0.670075,0.270498,0.363804,0.474752,0.389812
0.680075,0.270498,0.363808,0.474707,0.389799
0.690075,0.270498,0.363812,0.474662,0.389785
0.700073,0.270498,0.363816,0.474618,0.38977
0.710077,0.270499,0.363821,0.474573,0.389755
0.720083,0.2705,0.363826,0.474529,0.389741
0.730078,0.270501,0.36383,0.474485,0.389729
0.740077,0.270501,0.363834,0.474441,0.389715
0.750074,0.270502,0.363839,0.474397,0.389701
