elapsed_time_sec,ch1_voltage,ch2_voltage,ch3_voltage,ch4_voltage,ch5_voltage,ch6_voltage,ch7_voltage,ch8_voltage
4.43E-06,-0.002494816,-0.006654025,-0.004813277,2.6056824,5.08,5.08,5.08,5.08
0.010088955,-4.95E-05,-0.003885585,-0.002872146,2.6959903,5.08,5.08,5.08,5.08
0.020096114,-0.001268758,-0.00538987,-0.004450268,2.7365894,5.08,5.08,5.08,5.08
0.030087642,-0.001091542,-0.004931401,-0.003934895,2.7127829,5.08,5.08,5.08,5.08
0.040089633,-0.000984844,-0.00483271,-0.002702928,2.7255206,5.08,5.08,5.0784016,5.08
0.05009144,-0.001139847,-0.005034968,-0.002854239,2.7134361,5.08,5.08,5.08,5.08
0.06009099,0.000516567,-0.004558885,-0.002183366,2.6932611,5.08,5.08,5.08,5.08
0.07008976,-0.001396924,-0.005729635,-0.003986597,2.7338076,5.08,5.08,5.08,5.08
0.080087155,-0.001214679,-0.004703967,-0.004189893,2.7196622,5.08,5.08,5.08,5.08
0.090094924,-0.003396236,-0.007565499,-0.006633965,2.732459,5.08,5.08,5.08,5.08
0.100086786,-0.002737773,-0.008050391,-0.005379036,2.7407968,5.08,5.08,5.08,5.08
0.110066876,-0.001044787,-0.005050427,-0.004221783,2.7098515,5.08,5.08,5.08,5.08
0.12008124,-0.006003593,-0.009221035,-0.007423967,2.7568502,5.08,5.08,5.08,5.08
0.13008946,-0.004004211,-0.007860602,-0.005783714,2.7489057,5.08,5.08,5.08,5.08
0.14007396,-0.001066609,-0.005427426,-0.003687247,2.7306795,5.08,5.08,5.08,5.08
0.15009207,-0.004157497,-0.007430544,-0.005517398,2.729812,5.08,5.08,5.08,5.08
0.16007024,-0.001678923,-0.005981331,-0.004038533,2.7338552,5.08,5.08,5.08,5.08
0.17075256,-0.005835766,-0.009744628,-0.007345634,5.059266,5.08,5.08,5.08,5.08
0.18008777,-0.003923567,-0.007797513,-0.003565302,2.7114847,5.08,5.08,5.08,5.08
0.19007537,-0.001607909,-0.004689937,-0.005041518,2.734637,5.08,5.08,5.08,5.08
0.2000896,-0.003493934,-0.007451987,-0.005851736,2.7335958,5.08,5.08,5.08,5.08
0.21007048,-0.001742542,-0.005231709,-0.003687732,2.7284503,5.08,5.08,5.08,5.08
0.22007991,-0.005458945,-0.008940731,-0.007643373,2.7476668,5.08,5.08,5.08,5.08
0.23009554,-0.004512792,-0.008566154,-0.003265598,2.727141,5.08,5.08,5.08,5.08
0.24007562,-0.00135846,-0.004607639,-0.004373709,2.7322123,5.08,5.08,5.08,5.08
0.2500847,-0.002932075,-0.007305583,-0.00583987,2.7366316,5.08,5.08,5.08,5.08
0.2600715,-0.001316564,-0.005547168,-0.003751463,2.728269,5.08,5.08,5.08,5.08
0.2700763,-0.004607485,-0.009548926,-0.008055725,2.7590954,5.08,5.08,5.08,5.08
0.2800917,-0.004811207,-0.007840401,-0.006328595,2.7401702,5.08,5.08,5.08,5.08
0.29008257,-0.001325615,-0.006609848,-0.004336806,2.7413425,5.08,5.08,5.08,5.08
0.30009103,-0.003401369,-0.006616886,-0.005837257,2.739887,5.08,5.08,5.08,5.08
0.31006885,-0.001735128,-0.005028507,-0.003808364,2.7314112,5.08,5.08,5.08,5.08
0.32007805,-0.003812137,-0.007716599,-0.005944026,2.7434864,5.08,5.08,5.08,5.08
