elapsed_time_sec,ss1,ss2,ss3,ss4
4.204e-06,0.25582886,0.385751,0.41033885,0.35878175
0.010073665,0.25501695,0.38915882,0.41176704,0.38135526
0.020064646,0.25467724,0.3900214,0.41135103,0.38740754
0.030062405,0.2539605,0.39017993,0.4112671,0.39034644
0.040063497,0.25430232,0.39038774,0.4109613,0.39070594
0.050063126,0.25439465,0.3900074,0.41172582,0.39147183
0.06006294,0.25407213,0.39008793,0.41118982,0.39098695
0.07006323,0.2544647,0.38996848,0.41080797,0.39108738
0.08006325,0.25412846,0.3901495,0.4110956,0.39082563
0.09006405,0.25452232,0.38976616,0.41076687,0.3916202
0.10006179,0.25403833,0.38961256,0.41057235,0.39073923
0.110063255,0.2543711,0.38962382,0.41100976,0.39063412
0.120062344,0.25440902,0.38987014,0.41097397,0.3908967
0.13006532,0.25395396,0.38993323,0.41106713,0.39121744
0.14006418,0.25453624,0.38976195,0.41089863,0.39141086
0.1500621,0.25407335,0.38968992,0.41100395,0.39050448
0.16006206,0.2542891,0.38988057,0.4110867,0.3918629
0.1700617,0.254245,0.39000475,0.41063556,0.39125356
0.18006279,0.25550324,0.39075875,0.41029227,0.39105302
0.19006242,0.25458863,0.3900734,0.41047865,0.39152837
0.20006146,0.25428966,0.39029118,0.4109295,0.3908351
0.21006294,0.25483885,0.38995376,0.41035905,0.39143288
0.22006288,0.25171265,0.38962752,0.41044858,0.39122698
0.23008582,0.25319993,0.38911778,0.41057438,0.3916329
0.24006775,0.25475946,0.38980684,0.4106918,0.3912937
0.25006273,0.25410685,0.3892456,0.4105336,0.39133245
0.26006183,0.25358167,0.38922557,0.41026974,0.3910873
0.270062,0.25312912,0.38974437,0.41086587,0.3920838
0.2800673,0.25140864,0.38846326,0.40976518,0.3903554
0.2900673,0.2541402,0.3901102,0.41001025,0.39105362
0.30006087,0.2541212,0.39007142,0.4099827,0.39088717
0.31006092,0.25334436,0.38764036,0.4103332,0.39112294
0.32006094,0.25312796,0.38945106,0.4100367,0.39130336
0.33006284,0.25444132,0.3901234,0.41039553,0.39188895
0.34006268,0.2542126,0.38945103,0.41059205,0.3909771
0.3500634,0.25407094,0.38984996,0.41071814,0.39166772
0.3600626,0.25360003,0.38967338,0.40981233,0.3909495
0.3700625,0.25455528,0.39013958,0.41009593,0.39163634
0.38006243,0.2543544,0.38958764,0.40988564,0.39106342
0.39006117,0.25532767,0.39024758,0.4111461,0.39108008
0.40006262,0.25476256,0.38939488,0.409867,0.3916645
0.41006297,0.25454995,0.39035967,0.41030693,0.39123207
0.42006245,0.2540996,0.39056996,0.41001847,0.39139035
0.4300625,0.2545438,0.38983494,0.4098078,0.39139968
0.44006136,0.2549584,0.38980782,0.4100651,0.39114738
0.45006233,0.25408322,0.38980547,0.40980712,0.39177665
0.4600615,0.25478163,0.38999438,0.4098245,0.39123255
0.47006297,0.2546724,0.39015335,0.40924332,0.3913593
0.48006254,0.25433794,0.39005426,0.41006848,0.39171
0.49006304,0.2550363,0.39020798,0.40952107,0.39085606
0.5000624,0.25430873,0.39077416,0.41005293,0.3911411
0.5100614,0.25392967,0.38980764,0.40984857,0.3916784
0.5200639,0.25462312,0.39037526,0.4091758,0.39173594
0.5300617,0.2539567,0.3916666,0.40973693,0.39159065
0.54006255,0.25481984,0.38950965,0.41045403,0.3907942
0.5500624,0.25423026,0.3896816,0.40972397,0.39194894
0.56006145,0.25397068,0.39068598,0.41077006,0.39057696
0.5700625,0.25399002,0.38953903,0.4108382,0.39290625
0.58006257,0.25406772,0.3916139,0.41034272,0.3904926
0.59006304,0.25478205,0.3892996,0.41083205,0.39184502
0.6000616,0.25405154,0.39064166,0.40764317,0.39093074
0.61006254,0.25441122,0.388354,0.40881303,0.39377055
0.6200626,0.2542352,0.388505,0.40968516,0.39235345
0.63006157,0.25460505,0.39015818,0.40982878,0.3916217
0.64008814,0.2542479,0.38983765,0.4089625,0.39123884
0.6500697,0.25439394,0.39078233,0.4090142,0.39147058
0.660065,0.25406617,0.39059314,0.40946788,0.3915265
0.670063,0.25475582,0.39044178,0.40936866,0.39158264
0.6800623,0.2540849,0.3906436,0.40950698,0.39129075
0.6900623,0.25470042,0.3900637,0.40952143,0.39171848
0.70006305,0.2534221,0.38973355,0.4084765,0.3915968
0.7100638,0.25402716,0.3895149,0.4090223,0.39150348
0.7200615,0.25303677,0.3901518,0.4099949,0.39184007
0.7300714,0.2524094,0.38957134,0.40841886,0.39100292
0.74006563,0.25437397,0.38958913,0.40944353,0.39126974
0.750063,0.25382996,0.39004704,0.40952376,0.39122462
0.7600619,0.25407448,0.39036462,0.40892148,0.39153895
0.77006316,0.25368953,0.389179,0.40914655,0.39207
0.78006274,0.25419897,0.39087173,0.40997347,0.39229044
0.79006225,0.25466064,0.38916174,0.41003752,0.39134768
0.8000621,0.2551443,0.38924357,0.40837693,0.3920681
0.8100624,0.25415042,0.38885328,0.40865618,0.39226428
0.82006365,0.25444734,0.3897722,0.40783703,0.39044398
0.83006173,0.2543491,0.39062896,0.4103555,0.39200595
0.84006256,0.25451502,0.38989073,0.40675095,0.3909204
0.8500612,0.25455216,0.3911039,0.41040796,0.39057198
0.8600628,0.25376356,0.38825026,0.40897524,0.3916882
0.87006336,0.2541706,0.3914163,0.40981743,0.3917945
0.88006234,0.254035,0.38909847,0.4090082,0.3918483
0.8900625,0.2547009,0.39023948,0.4087307,0.39170742
0.90006113,0.25473812,0.39010304,0.40900612,0.3915612
0.9100626,0.25442275,0.39023587,0.40894756,0.39115897
0.92006236,0.254612,0.38999116,0.40791875,0.39142808
0.9300663,0.25450048,0.38956022,0.40895516,0.39169753
0.94006383,0.25439686,0.39052284,0.40828684,0.39156517
0.95006293,0.25463748,0.3903225,0.4091766,0.39234915
0.9600615,0.2540865,0.39013666,0.40838084,0.3917699
0.9700614,0.2541396,0.39025432,0.40890828,0.39155543
0.98006254,0.25440162,0.39006853,0.408489,0.3916303
0.9900628,0.25445098,0.39052388,0.40851223,0.39200124
1.0000669,0.25408047,0.3897141,0.4079575,0.39141878
1.0100629,0.25387672,0.38988233,0.40821555,0.39216813
1.0200622,0.25386578,0.3899829,0.40839103,0.39202958
1.0300633,0.2540411,0.38963026,0.4086144,0.3915152
1.0400624,0.25490314,0.3895649,0.40778756,0.39221668
1.0500629,0.25431758,0.3900217,0.40803742,0.39144316
1.0600612,0.25391322,0.38975284,0.4084743,0.39153513
1.0700607,0.25377822,0.39035285,0.40894133,0.39142337
1.0800632,0.2545291,0.38982916,0.40815568,0.3917395
